Ag -0.19820116
Al -0.31455471
As -1.70125462
Au -0.18494148
B -0.46704273
Ba -0.03101409
Be -0.03829264
Bi -1.32456394
Br -0.26702010
C -1.36778762
Ca -0.00669804
Cd -0.01269252
Cl -0.37370614
Cr -5.43535568
Cs -0.13345046
Cu -0.24231333
Fe -3.37684106
Ga -0.27760085
Ge -0.77067288
H -1.11564910
Hf -3.47141499
Hg -0.01066417
I -0.21203241
In -0.22759447
Ir -1.58486000
K -0.15885132
La -0.63873053
Li -0.29385697
Mg -0.00040000
Mo -4.58763796
N -3.12561282
Na -0.21928380
Nb -3.15655800
O -1.85321219
Os -2.92830433
P -1.88664411
Pb -0.58498619
Pd -1.47413334
Pt -0.60720467
Rb -0.14189970
Re -4.60839996
Rh -1.56035621
Ru -2.47280302
S -1.07903753
Sb -1.43005001
Sc -1.98188993
Se -0.89368300
Si -0.87162900
Sn -0.64316709
Sr -0.02805273
Ta -3.66364591
Te -0.41476686
Ti -2.44987314
Tl -0.19707947
V -2.48303480
W -4.10709057
Y -2.26275664
Zn -0.01014996
Zr -2.31466646
