Ag -0.23081229
Al -0.28161711
Am -13.64448513
As -1.69936458
Au -0.20344413
B -0.35868981
Ba -0.03456095
Be -0.02253940
Bi -1.36451430
Br -0.22437408
C -1.33690776
Ca -0.00960248
Cd -0.02036368
Ce 1.04850167
Cl -0.31205869
Cm -12.14782627
Co -1.84146366
Cr -5.52354630
Cs -0.16352802
Cu -0.27545460
Dy -4.90617263
Er -4.71354240
Eu -8.30226244
F -0.52986023
Fe -3.28170797
Fr -0.15874339
Ga -0.27040184
Gd -6.63860734
Ge -0.75777467
H -0.94490750
Hf -3.37316265
Hg -0.01584891
Ho 15.33496739
I -0.18136690
In -0.23301176
Ir -1.47467121
K -0.18167890
La -0.42975161
Li -0.28345764
Lu -0.31680348
Mg -0.00144375
Mn -5.13108821
Mo -4.61899807
N -3.19117925
Na -0.23691423
Nb -3.11103553
Nd 60.06662937
Ne -0.01821645
Ni -0.52608120
Np -6.86288312
O -1.79668297
Os -2.80698385
P -1.85623352
Pa -2.17662023
Pb -0.62641935
Pd -1.48811962
Pm -5.91671014
Po -0.64657943
Pr 46.10535739
Pt -0.46530174
Pu -9.91660829
Ra -0.01222638
Rb -0.16674267
Re -4.57677808
Rh -1.46826020
Ru -2.38332326
S -1.00139837
Sb -1.44532272
Sc -1.94490122
Se -0.84401240
Si -0.81384462
Sm -8.13649187
Sn -0.65049319
Sr -0.03254321
Ta -3.56739868
Tb -4.31760531
Te -0.70092639
Th -1.07966731
Ti -2.43546301
Tl -0.21963046
Tm -3.86189209
U -4.39200161
V -3.55970043
W -4.02455028
Xe -0.01870353
Y -2.21609962
Yb -0.03630102
Zn -0.01407521
Zr -2.17265221
